"rec_id","invensys_acct_id","invensys_device_type_id","instance_id","kfactor","rec_create_date","rec_last_update_date",
14,1318,3,1,0,"2006-02-28 15:13:12","2006-02-28 15:13:12",
15,1320,3,1,0,"2006-02-28 15:13:13","2006-02-28 15:13:13",
17,1322,3,1,0,"2006-02-28 15:13:13","2006-02-28 15:13:13",
24,1330,3,1,0,"2006-02-28 15:13:14","2006-02-28 15:13:14",
26,1332,3,1,0,"2006-02-28 15:13:14","2006-02-28 15:13:14",
28,1334,3,1,0,"2006-02-28 15:13:14","2006-02-28 15:13:14",
35,1341,3,1,0,"2006-02-28 15:13:15","2006-02-28 15:13:15",
38,1344,3,1,0,"2006-02-28 15:13:16","2006-02-28 15:13:16",
41,1361,3,1,0,"2006-02-28 15:13:16","2006-02-28 15:13:16",
47,1367,3,1,0,"2006-02-28 15:13:17","2006-02-28 15:13:17",
53,1373,3,1,0,"2006-02-28 15:13:18","2006-02-28 15:13:18",
92,1520,3,1,0,"2006-02-28 15:13:26","2006-02-28 15:13:26",
103,1531,3,1,0,"2006-02-28 15:13:27","2006-02-28 15:13:27",
105,1533,3,1,0,"2006-02-28 15:13:27","2006-02-28 15:13:27",
108,1536,3,1,0,"2006-02-28 15:13:28","2006-02-28 15:13:28",
112,1540,3,1,0,"2006-02-28 15:13:28","2006-02-28 15:13:28",
132,1580,3,1,0,"2006-03-22 11:09:36","2006-03-22 11:09:36",
135,1577,3,1,0,"2006-03-22 11:13:37","2006-03-22 11:13:37",
139,1573,3,1,0,"2006-03-22 11:21:34","2006-03-22 11:21:34",
141,1570,3,1,0,"2006-03-22 11:25:37","2006-03-22 11:25:37",
142,1571,3,1,0,"2006-03-22 11:25:38","2006-03-22 11:25:38",
146,1568,3,1,0,"2006-03-22 11:29:53","2006-03-22 11:29:53",
147,1562,3,1,0,"2006-03-22 11:33:34","2006-03-22 11:33:34",
148,1563,3,1,0,"2006-03-22 11:33:36","2006-03-22 11:33:36",
150,1559,3,1,0,"2006-03-22 11:37:34","2006-03-22 11:37:34",
153,1582,3,1,0,"2006-03-28 10:17:36","2006-03-28 10:17:36",
154,1565,3,1,0,"2006-04-04 13:06:13","2006-04-04 13:06:13",
156,1573,3,2,0,"2006-04-14 15:36:56","2006-04-14 15:36:56",
158,1563,3,2,0,"2006-04-19 10:31:56","2006-04-19 10:31:56",
159,1585,3,1,0,"2006-04-27 06:45:29","2006-04-27 06:45:29",
162,1469,3,2,0,"2006-05-18 12:01:34","2006-05-18 12:01:34",
